"a közeli viszontlátásra!","à bientôt!"
"távolodik vmitõl","s´éloigner de"
"meghódít; hatalmába kerít","s´emparer"
"kicsípi magát; kiöltözik","s´endimancher"
"megszökik; elmenekül","s´enfuir"
"nekibátorodik","s´enhardir"
"besüpped; megfeneklik","s´enliser"
"érdeklõdik vmi iránt","s´enquêter de qc"
"meghül","s´enrhumer"
"kölcsönösen segítik egymást","s´entraider"
"kibontakozik; felderül","s´épanouir"
"törülközik","s´essuyer"
"elterül; elterjed","s´étendre"
"nyújtózkodik","s´étirer"
"elájul","s´évanouir"
"felkiált","s´exclamer"
"felöltözik","s´habiller"
"belép vhová","s´inscrirer à"
"elhelyezkedik","s´installer"
"felkel; fellázad","s´insurger"
"érdeklõdik vmi; vki iránt","s´interesser à qc, q"
"foglalkozik vmivel","s´occuper de qc"
"dohány","tabac m."
"dohányzás","tabagisme m."
"tábla; asztal; táblázat","table f."
"éjjeliszekrény","table de chevet f."
"festmény","tableau m."
"tartalomjegyzék","table des matières f."
"kötény","tablier m."
"szeplõ","taches de rousseur"
"feladat","tâche f."
"folt; pecsét","tache f."
"igyekszik vmit megtenni","tâcher de inf."
"vágás; metszés; termet","taille f."
"vág; farag","tailler"
"elhallgat; eltitkol","taire"
"tehetséges","talentueux, -euse"
"tehetség; képesség","talent m."
"talp","talon m."
"sörényes hangyász","tamanoir m."
"dob","tambour m."
"szita","tamis m."
"amíg; ellenben","tandis"
"annyi(t); olyan sok","tant"
"annyira","tant que"
"nagynéni","tante f."
"hamar(osan)","tantôt"
"üt; rácsap; gépel","taper"
"terítõ; szõnyeg","tapis m."
"késõ","tard"
"halogat; késlekedik","tarder"
"torta","tarte f."
"csésze","tasse f."
"vakond","taupe f."
"százalék; árfolyam; fok","taux m."
"adó; illeték; díj","taxe f."
"taxi","taxi m."
"póló","tee-shirt m."
"arcszín","teint m."
"ilyen; olyan","tel, telle"
"távirányító","télécommande m."
"távirat","télégramme m."
"telefonál","téléphoner"
"telefon","téléphone m."
"sífelvonó","télésiège m."
"távcsõ","télescope m."
"televízió","télévision f."
"tanú","témoin m."
"tanúsít; vall","témoigner"
"nagy érdeklõdést tanúsít vmi iránt","témoigner un grand intérêt pour qc"
"halánték","tempe f."
"vihar","tempête f."
"idõ","temps m."
"kitartó; makacs","tenace"
"irány; hajlam; tendencia","tendance f."
"kifeszít","tendre"
"kitereget","tendre la linge"
"tart","tenir"
"ígéretet megtart","tenir une promesse"
"sátor","tente f."
"megkísérel; megpróbál","tenter"
"zavaros; homályos; fakó","terne"
"halványít; fakít; homályosít","ternir"
"föld; terület; sportpálya","terrain m."
"terasz","terrasse f."
"föld","terre f."
"terror; rettegés","terreur f."
"ebihal","tétard m."
"fej","tête f."
"szöveg","texte m."
"tea","thé m."
"színház","théâtre m."
"teáskanna","théière f."
"elmélet","théorie f."
"hõmérõ","thermomètre m."
"peronjegy","ticket de quai m."
"langyos; lagymatag; lanyha","tiède"
"harmad","tiers m."
"tigris","tigre m."
"üstdob","timbale f."
"bélyeg","timbre m."
"illetékbélyeg","timbre fiscal m."
"bátortalan","timide"
"dugóhúzó","tire-bouchon m."
"húz; von; kibocsát; lõ","tirer"
"fiók","tiroir m."
"szövet","tissu m."
"cím; fejezet","titre m."
"csúszda","toboggan m."
"te","toi"
"mosdó","toilettes f. p."
"vászon; gyolcs; szövet","toile f."
"tetõ","toit m."
"türelem","tolérance f."
"paradicsom","tomate f."
"defektet kap","tomber en panne"
"esik; hull; zuhan","tomber"
"kötet","tome m."
"hang; hangnem; tónus","ton m."
"fûnyírógép","tondeuse f."
"füvet nyír","tondre la pelouse"
"füvet nyír","tondre le gazon"
"mennydörgés","tonnerre m."
"törlõruha","torchon m."
"igazságtalanság; hiba","tort m."
"teknõc","tortue f."
"hamar; nemsokára","tôt"
"összes; teljes","total, -e"
"megérint; eltalál","toucher"
"tapintás","toucher m."
"forgás; fordulat; menet","tour m."
"turista","touriste f."
"kínoz; gyötör","tourmenter"
"lemezjátszó","tourne-disque m."
"csavarhúzó","tournevis m."
"forgat; fordul","tourner"
"köhög","tousser"
"legelõször is","tout d´abord"
"minden; egész; teljes","tout, -e"
"mégis; azonban","toutefois"
"lámpaláz","trac m."
"nyom; emlék","trace f."
"taktor","tracteur m."
"hagyomány","tradition f."
"kereskedik; kufárkodik; nyerészkedik","trafiquer"
"árulás; csalás; ámítás","trahison f."
"vonat","train m."
"tehervonat","train de marchandises m."
"fej (tejet)","traire les vaches"
"szerzõdés; értekezés; tanulmány","traité m."
"fejés; külkereskedelem","traite f."
"izzad","transpirer"
"terjedés; közvetítés","transmission f."
"átenged; átruház","transmettre"
"visz; szállít","transporter"
"megszeg; áthág","transgresser"
"dolgozik","travailler"
"munka","travail m."
"szorgalmas","travailleur, -euse"
"átkel az úttesten","traverser la rue"
"átkelés","traversée f."
"átmegy; átjár","traverser"
"tizenhárom","treize"
"reszket; remeg; retteg","trembler"
"földrengés","tremblement de terre m."
"bõrig ázott","trempé, -e jusqu´aux os"
"ugródeszka","tremplin m."
"harminc","trente"
"háromszög","triangle m."
"bíróság","tribunal m."
"hamisan játszik; csal","tricher"
"köt","tricoter"
"válogat","trier"
"koccint","trinquer"
"siker; diadal","triomphe m."
"szomorú; bús","triste"
"három","trois"
"háromnegyed","trois quarts m. pl."
"megcsal; félrevezet","tromper"
"trombita","trompette f."
"ormány","trompe f."
"nagyon; túl","trop"
"járda","trottoir m."
"lyuk; nyílás; hézag","trou m."
"nyáj","troupeau m."
"színtársulat","troupe de théâtre f."
"tolltartó","trousse f."
"talál; lel","trouver"
"fogás; fortély; izé","truc m."
"vakolókanál","truelle f."
"pisztràng","truite f."
"te","tu"
"megöl; elpusztít","tuer"
"tulipán","tulipe f."
"zajongás; féktelenkedés","turbulence f."
"török","turc, turque"
"rigó","turde m."
"türkíz","turquoise f."
"gyámság","tutelle f."
"gyám; támasz","tuteur, tutrice"
"tegezés","tutoiement m."
"tegez","tutoyer"
"csõ; tõmlõ","tuyeau m."
"lenyomat; típus; pasas","type m."
"tífusz","typhus m."
"egy","un, une"
"azonos felfogású; egyhangú","unanime"
"egyesülés; szövetség","union f."
"egyedi","unique"
"egység","unité f."
"központi egység","unité centrale f."
"egyetem","université f."
"világegyetem","univers m."
"közgazdaságtudományi egyetem","université d´économie f."
"orvosi egyetem","université de médecine f."
"agrártudományi egyetem","université agronomique f."
"sürgõs","urgent, -e"
"vizelet","urine f."
"használat; rendeltetés","usage m."
"gyár","usine f."
"uzsora","usure f."
"hasznos","utile"
"használ; felhasznál","utiliser"
"használó; felhasználó","utilisateur m."
"lárma","vacarme m."
"tehén","vache f."
"hullám","vague f."
"gyõz","vaincre"
"edény; tartály; hajó","vaisseau m."
"asztali edénynemû","vaisselle f."
"érték","valeur f."
"csomag","valise f."
"völgy","vallée f."
"ér vmit","valoir"
"hiábavalóság; haszontalanság","vanité f."
"hiú; hivalkodó","vaniteux, -euse"
"kiterjedt; terjedelmes","vaste"
"semmirekellõ","vaurien m."
"borjú; borjúhús","veau m."
"filmsztár; csillag","vedette f."
"jármû","véhicule m."
"szenteste","veille de Noël f."
"határozatlanság","velléité f."
"kerékpár; bicikli","vélo m."
"elad","vendre"
"péntek","vendredi m."
"méreg","venin m."
"jön","venir"
"szél","vent m."
"has","ventre m."
"kukac; féreg; nyû","ver m."
"szóbeli","verbal, -e"
"ige; szó; hang","verbe m."
"gyümölcsöskert","verger m."
"vesszõ","verge f."
"ellenõriz; igazol","verifier"
"igazság","verité f."
"hamvas piros","vermillon m."
"lakkozás; képkiállítás","vernissage m."
"lakk","vernis m."
"pohár; üveg","verre m."
"felé; irányában; tájban; körül","vers"
"önt","verser"
"fordítás; verzió","version f."
"zöld","vert, -e"
"csigolya","vertèbre f."
"gerinces","vertèbré"
"hév; ihlet; lelkesedés","verve f."
"öltözõ","vestiaire m."
"nyom; emlék; maradvány","vestige m."
"kabát(ka)","veston m."
"ruha","vêtement m."
"özvegy","veuf, veuve"
"bosszant; nyugtalanít; zaklat","vexer"
"hús","viande f."
"hibás; fogyatékos; romlott; parázna","vicieux, -euse"
"áldozat","victime f."
"gyõzelem","victoire f."
"üres","vide"
"ürít","vider"
"élet","vie f."
"öregség","vieillesse f."
"szûz","vierge f."
"idõs; régi; öreg","vieux, vieille"
"élénk","vif, vive"
"szõlõ","vigne f."
"szõlõhegy","vignoble m."
"falu","village m."
"város","ville f."
"bor","vin m."
"ecet","vinaigre m."
"húsz","vingt"
"huszonegy","vingt et un"
"megbecstelenítés","viol m."
"megsértés; megszegés","violation f."
"lila","violet, -te"
"heves; erõszakos; féktelen","violent, -e"
"hegedû","violon m."
"cselló","violoncelle m."
"megfordul","virer"
"virtuális; képzeletbeli","virtuel, -elle"
"vírus","virus m."
"csavar","vis f."
"szemben","vis-à-vis"
"arc","visage m."
"látható","visible"
"ellátogat","visiter"
"gyors; sebes","vite"
"gyorsaság","vitesse f."
"ablaküveg","vitre f."
"kirakat","vitrine f."
"elevenszülõ","vivipare m."
"él","vivre"
"hivatás","vocation f."
"út; vágány; vezeték","voie f."
"vitorla","voile f."
"lepel; takaró; fátyol","voile m."
"lát","voir"
"szomszéd(asszony)","voisin f. m."
"rendõrautó","voiture de police f."
"személyautó","voiture f."
"kormánykerék","volant m."
"lop; száll","voler"
"önként; szándékosan","volontairement"
"ûrtartalom; kötet","volume m."
"hány","vomir"
"szavaz","voter"
"akar","vouloir"
"ti","vous"
"magáz","vouvoyer"
"magázás","vouvoiement m."
"utas","voyageur m."
"nászút","voyage de noces m."
"látó; élénk; feltûnõ","voyant, -e"
"ömlesztett áru; rendetlenül","vrac m."
"igaz","vrai, -e"
"valószínû; valószerû","vraisemblable"
"látás; kilátás","vue f."
"hálókocsi","wagon-lit m."
"étkezõkocsi","wagon-restaurant m."
"vasúti kocsi","wagon m."
"hétvége","week-end m."
"itt; ott; oda","y"
"joghurt","yaourt m."
"kapcsolgat","zapper"
"zebra","zèbre m."
"buzgalom; buzgóság","zèle m."
"nulla","zéro"
"cikkcakk","zigzag m."
"zümmögés","zonzon m."
"állatkert","zoo m."
"fene egye meg!","zut!"
